iters,train_acc,test_acc
0,0.9813,0.983
1,0.9832,0.9843
2,0.9872,0.9886
3,0.989,0.9892
4,0.989,0.9886
5,0.9909,0.9903
6,0.9914,0.9903
7,0.9908,0.99
8,0.9914,0.9903
9,0.9927,0.9922
10,0.9914,0.9903
11,0.9941,0.9923
12,0.9912,0.9901
13,0.9932,0.9927
14,0.9938,0.9923
15,0.9943,0.9924
16,0.9947,0.9936
17,0.9941,0.9906
18,0.9953,0.9925
19,0.9949,0.9929
20,0.9959,0.9928
21,0.9956,0.9933
22,0.996,0.9941
23,0.9962,0.9936
24,0.9963,0.9937
25,0.9966,0.9939
26,0.9966,0.9936
27,0.996,0.9931
28,0.9969,0.994
29,0.9965,0.9937
30,0.9968,0.9941
31,0.9968,0.9942
32,0.9968,0.9935
33,0.9969,0.9942
34,0.9968,0.9943
35,0.9967,0.9944
36,0.9972,0.9945
37,0.9974,0.9943
38,0.9971,0.9946
39,0.9973,0.9938
40,0.9973,0.9931
41,0.9972,0.9937
42,0.9972,0.9944
43,0.9971,0.9945
44,0.9973,0.9943
45,0.9973,0.9944
46,0.9973,0.994
47,0.9972,0.994
48,0.9973,0.9947
49,0.9972,0.9945
50,0.9974,0.9939
51,0.9973,0.9944
52,0.9973,0.9945
53,0.9972,0.9943
54,0.9974,0.9941
55,0.9973,0.9944
56,0.9974,0.9944
57,0.9974,0.9945
58,0.9972,0.9946
59,0.9973,0.9944
60,0.9973,0.9942
61,0.9974,0.9942
62,0.9973,0.9944
63,0.9973,0.9945
64,0.9973,0.9944
65,0.9974,0.9944
66,0.9974,0.9943
67,0.9973,0.9943
68,0.9973,0.9943
69,0.9973,0.9943
70,0.9973,0.9943
71,0.9973,0.9943
72,0.9973,0.9943
73,0.9973,0.9943
74,0.9973,0.9943
75,0.9973,0.9943
76,0.9973,0.9943
77,0.9973,0.9943
78,0.9973,0.9943
79,0.9973,0.9943
80,0.9973,0.9943
81,0.9973,0.9943
82,0.9973,0.9943
83,0.9973,0.9943
84,0.9973,0.9943
85,0.9973,0.9943
86,0.9973,0.9943
87,0.9973,0.9943
88,0.9973,0.9943
89,0.9973,0.9943
90,0.9973,0.9943
91,0.9973,0.9943
92,0.9973,0.9943
93,0.9973,0.9943
94,0.9973,0.9943
95,0.9973,0.9943
96,0.9973,0.9943
97,0.9973,0.9943
98,0.9973,0.9943
99,0.9973,0.9943
