iters,train_acc,test_acc
0,0.8857,0.8907
1,0.9118,0.9149
2,0.9233,0.9253
3,0.931,0.9303
4,0.9361,0.937
5,0.9404,0.9407
6,0.9447,0.9434
7,0.9479,0.9459
8,0.9494,0.9471
9,0.9529,0.9514
10,0.954,0.953
11,0.9562,0.9534
12,0.9573,0.9557
13,0.9594,0.9572
14,0.9612,0.9582
15,0.962,0.9591
16,0.9632,0.9596
17,0.9644,0.9608
18,0.9652,0.9609
19,0.966,0.9628
20,0.9676,0.9625
21,0.9688,0.9642
22,0.9683,0.9636
23,0.97,0.9652
24,0.9697,0.9653
25,0.9712,0.9663
26,0.972,0.9666
27,0.9726,0.9674
28,0.9729,0.9668
29,0.9737,0.9679
30,0.9744,0.969
31,0.9743,0.9679
32,0.9752,0.9679
33,0.9757,0.9691
34,0.9756,0.9695
35,0.9762,0.9701
36,0.9766,0.97
37,0.9771,0.9714
38,0.9772,0.9712
39,0.9774,0.9705
40,0.9782,0.9713
41,0.9786,0.9715
42,0.9783,0.9721
43,0.9791,0.9724
44,0.9789,0.9718
45,0.9797,0.9723
46,0.9799,0.9718
47,0.9797,0.9726
48,0.9804,0.9737
49,0.9802,0.9733
50,0.9809,0.9737
51,0.9805,0.9728
52,0.9811,0.9737
53,0.9812,0.9743
54,0.9816,0.9744
55,0.9809,0.9735
56,0.9814,0.9733
57,0.9818,0.9739
58,0.9819,0.9746
59,0.982,0.9752
60,0.9817,0.9739
61,0.9824,0.974
62,0.9823,0.9748
63,0.982,0.9749
64,0.9823,0.9755
65,0.9826,0.9751
66,0.9828,0.9746
67,0.9827,0.9753
68,0.9833,0.9746
69,0.9832,0.9743
70,0.9832,0.9744
71,0.9835,0.9756
72,0.9831,0.9753
73,0.9833,0.9754
74,0.9838,0.976
75,0.9836,0.9749
76,0.9838,0.9749
77,0.9842,0.9756
78,0.9836,0.9755
79,0.9836,0.9745
80,0.9844,0.9764
81,0.9844,0.9766
82,0.9844,0.9756
83,0.9846,0.9764
84,0.984,0.9764
85,0.9848,0.9765
86,0.9844,0.9762
87,0.9838,0.9752
88,0.9849,0.9761
89,0.9845,0.9764
90,0.9843,0.9759
91,0.9848,0.9761
92,0.9844,0.9766
93,0.9847,0.9763
94,0.9848,0.9762
95,0.9852,0.9766
96,0.9851,0.9772
97,0.9854,0.9765
98,0.9851,0.9771
99,0.9854,0.9769
100,0.9854,0.9768
101,0.9856,0.9764
102,0.9854,0.9772
103,0.985,0.9776
104,0.9857,0.9767
105,0.9852,0.9763
106,0.9855,0.977
107,0.986,0.9772
108,0.9854,0.9772
109,0.9856,0.9772
110,0.9854,0.9772
111,0.9851,0.9771
112,0.986,0.9769
113,0.9856,0.9771
114,0.9859,0.9766
115,0.9857,0.9767
116,0.9857,0.9769
117,0.986,0.977
118,0.9857,0.9775
119,0.9859,0.977
120,0.9861,0.9777
121,0.9862,0.9772
122,0.9856,0.9772
123,0.9853,0.9769
124,0.9861,0.9776
125,0.9862,0.9776
126,0.986,0.978
127,0.9861,0.9773
128,0.9859,0.9782
129,0.9861,0.9779
130,0.986,0.9771
131,0.9862,0.9775
132,0.9859,0.9761
133,0.986,0.9779
134,0.9863,0.9775
135,0.9865,0.9772
136,0.9863,0.9765
137,0.9861,0.9774
138,0.9864,0.9771
139,0.9864,0.9775
140,0.9855,0.9769
141,0.9865,0.9776
142,0.9865,0.978
143,0.9863,0.9773
144,0.9866,0.9772
145,0.9867,0.9773
146,0.9862,0.9773
147,0.9862,0.9775
148,0.9868,0.9774
149,0.987,0.9778
150,0.9867,0.9771
151,0.9868,0.9775
152,0.9865,0.9771
153,0.9865,0.9776
154,0.9869,0.9778
155,0.9866,0.978
156,0.9868,0.9774
157,0.9869,0.9769
158,0.9871,0.9775
159,0.9864,0.9786
160,0.9864,0.9771
161,0.9866,0.9779
162,0.9869,0.9774
163,0.9869,0.9775
164,0.9868,0.9777
165,0.9868,0.9777
166,0.9869,0.9785
167,0.9866,0.9784
168,0.987,0.9773
169,0.9868,0.9785
170,0.9868,0.9774
171,0.9872,0.9787
172,0.9869,0.9783
173,0.9873,0.9774
174,0.9869,0.977
175,0.9864,0.9777
176,0.9872,0.9779
177,0.9869,0.9776
178,0.9871,0.9777
179,0.9862,0.9783
180,0.9872,0.9774
181,0.9874,0.9784
182,0.9872,0.9785
183,0.9873,0.9777
184,0.987,0.9777
185,0.9872,0.9779
186,0.9872,0.9774
187,0.9869,0.9779
188,0.9873,0.9775
189,0.9873,0.978
190,0.9871,0.978
191,0.9873,0.9776
192,0.9876,0.9777
193,0.9873,0.9777
194,0.9868,0.9773
195,0.9873,0.9776
196,0.987,0.9781
197,0.9872,0.9787
198,0.987,0.9779
199,0.9875,0.9774
200,0.9869,0.9786
201,0.9868,0.9782
202,0.9872,0.9785
203,0.9875,0.9781
204,0.9873,0.978
205,0.9873,0.9781
206,0.9876,0.978
207,0.9875,0.9785
208,0.9873,0.9783
209,0.9874,0.9774
210,0.9874,0.977
211,0.9879,0.9776
212,0.9876,0.978
213,0.9874,0.9778
214,0.9874,0.9779
215,0.9872,0.9785
216,0.9876,0.9783
217,0.9874,0.9784
218,0.9876,0.9779
219,0.9875,0.9784
220,0.9876,0.9774
221,0.987,0.9789
222,0.9874,0.9786
223,0.9875,0.9782
224,0.9876,0.9775
225,0.9872,0.978
226,0.9876,0.9776
227,0.9878,0.9788
228,0.9877,0.9783
229,0.9877,0.9781
230,0.988,0.9775
231,0.9875,0.978
232,0.9878,0.9786
233,0.9875,0.9783
234,0.9874,0.9781
235,0.9877,0.9789
236,0.9876,0.9781
237,0.9878,0.978
238,0.9876,0.9781
239,0.9875,0.9786
240,0.9874,0.9779
241,0.9878,0.9782
242,0.9876,0.978
243,0.9874,0.9783
244,0.9875,0.9786
245,0.9876,0.9778
246,0.9876,0.9785
247,0.9877,0.978
248,0.9876,0.9785
249,0.9875,0.9787
250,0.9878,0.9785
251,0.9879,0.9788
252,0.9875,0.9788
253,0.988,0.9789
254,0.9878,0.9779
255,0.9878,0.9778
256,0.988,0.9784
257,0.9875,0.9783
258,0.9877,0.9788
259,0.9879,0.9792
260,0.9878,0.9778
261,0.9876,0.978
262,0.988,0.9774
263,0.9877,0.9781
264,0.9878,0.9775
265,0.9876,0.9783
266,0.9879,0.9778
267,0.9877,0.9785
268,0.988,0.9782
269,0.9879,0.9779
270,0.9877,0.9783
271,0.988,0.9784
272,0.9875,0.9793
273,0.9878,0.9785
274,0.9881,0.9785
275,0.9878,0.9789
276,0.988,0.9786
277,0.9878,0.9789
278,0.988,0.9785
279,0.988,0.9787
280,0.988,0.9779
281,0.988,0.9782
282,0.9879,0.9785
283,0.988,0.9785
284,0.9879,0.9778
285,0.9876,0.9788
286,0.9878,0.9788
287,0.9878,0.9785
288,0.988,0.9786
289,0.9877,0.9792
290,0.9879,0.9785
291,0.9881,0.978
292,0.9876,0.9789
293,0.988,0.9797
294,0.9883,0.9782
295,0.9878,0.9791
296,0.9879,0.9784
297,0.9881,0.9777
298,0.9876,0.979
299,0.9874,0.9791
300,0.9882,0.9789
301,0.9876,0.9791
302,0.9878,0.9787
303,0.9879,0.9788
304,0.988,0.979
305,0.988,0.9788
306,0.988,0.9794
307,0.9878,0.9789
308,0.9877,0.9788
309,0.9879,0.9787
310,0.9878,0.9785
311,0.988,0.9788
312,0.9882,0.9792
313,0.988,0.9786
314,0.988,0.9787
315,0.9878,0.9788
316,0.9879,0.9773
317,0.9878,0.979
318,0.9882,0.979
319,0.9881,0.9789
320,0.9881,0.9789
321,0.9879,0.9797
322,0.988,0.9794
323,0.9877,0.979
324,0.9881,0.9788
325,0.9878,0.9794
326,0.9878,0.979
327,0.9881,0.9788
328,0.988,0.9792
329,0.9881,0.9785
330,0.9882,0.9789
331,0.9881,0.9794
332,0.9883,0.979
333,0.9879,0.9796
334,0.9882,0.9791
335,0.9885,0.9787
336,0.9881,0.9789
337,0.988,0.9793
338,0.9882,0.978
